collection_batch_id,inventory_uid,canonical_inventory_id,query_text,query_tier,query_template_version,marketplace_id,fetched_at,item_id,title,price_value,price_currency,condition,condition_id,buying_options,item_web_url,image_url,seller_username,seller_feedback_score,seller_feedback_percentage,shipping_cost_value,shipping_cost_currency,item_location_country,item_location_city,item_creation_date
batch_20260723_095422,iuid_9672e4c078b142bd,rolex_1530_7937,Rolex 1530,4,v1,EBAY_DE,2026-07-30T19:49:07+00:00,v1|117324498646|0,"ROLEX 1530 Axle for Oscillating Weight Cod. 1530-7906 Calib: 1520, 1525, 1530...",30.00,EUR,Gebraucht,3000,FIXED_PRICE,https://www.ebay.de/itm/117324498646?_skw=Rolex+1530&hash=item1b5115c6d6:g:AVIAAeSwdbtqZyWm,https://i.ebayimg.com/images/g/AVIAAeSwdbtqZyWm/s-l225.jpg,fornitura_boccacci,4294,99.9,19.00,EUR,IT,Sant Angelo Romano,2026-07-27T09:30:18.000Z
batch_20260723_095422,iuid_9672e4c078b142bd,rolex_1530_7937,Rolex 1530,4,v1,EBAY_DE,2026-07-30T19:49:07+00:00,v1|407101259218|0,"ROLEX 1530 Bolzen oder Achse der oszillierenden Masse Cod. 1530-7906 Kaliber: 1520, 15...",30.00,EUR,Usato,3000,FIXED_PRICE,https://www.ebay.de/itm/407101259218?_skw=Rolex+1530&hash=item5ec9203dd2:g:Hp4AAeSwSwhqZyZR,https://i.ebayimg.com/images/g/Hp4AAeSwSwhqZyZR/s-l225.jpg,fornitura_boccacci,4294,99.9,19.00,EUR,IT,Sant Angelo Romano,2026-07-27T09:30:09.000Z
batch_20260723_095422,iuid_9672e4c078b142bd,rolex_1530_7937,Rolex 1530,4,v1,EBAY_DE,2026-07-30T19:49:07+00:00,v1|147449474752|0,Rolex 1570-310 KOMPLETTES FASS - KAL. 1520/ 1525/ 1530/ 1535/ 1555/ 1565/1570,56.00,EUR,Usato,3000,FIXED_PRICE|BEST_OFFER,https://www.ebay.de/itm/147449474752?_skw=Rolex+1530&hash=item2254ac6ec0:g:~4MAAeSw4oNqXi-c,https://i.ebayimg.com/images/g/~4MAAeSw4oNqXi-c/s-l225.jpg,aderaldo_time,2,75.0,19.00,EUR,IT,Savona,2026-07-27T07:30:01.000Z
batch_20260723_095422,iuid_9672e4c078b142bd,rolex_1530_7937,Rolex 1530,4,v1,EBAY_DE,2026-07-30T19:49:07+00:00,v1|800422889335|0,Rolex Unruhe  für 1530 - 1570,,,Gebraucht - Gut,3000,AUCTION|BEST_OFFER,https://www.ebay.de/itm/800422889335?_skw=Rolex+1530&hash=itemba5cec0777:g:htoAAeSw3jFqX6HO,https://i.ebayimg.com/images/g/htoAAeSw3jFqX6HO/s-l225.jpg,jens023,2035,100.0,8.00,EUR,DE,Erfurt,2026-07-28T16:48:18.000Z
batch_20260723_095422,iuid_9672e4c078b142bd,rolex_1530_7937,Rolex 1530,4,v1,EBAY_DE,2026-07-30T19:49:07+00:00,v1|800422856479|0,Rolex rotor für 1530-1570,,,Gebraucht - Gut,3000,AUCTION|BEST_OFFER,https://www.ebay.de/itm/800422856479?_skw=Rolex+1530&hash=itemba5ceb871f:g:SUEAAeSwws5qX55s,https://i.ebayimg.com/images/g/SUEAAeSwws5qX55s/s-l225.jpg,jens023,2035,100.0,8.00,EUR,DE,Erfurt,2026-07-29T16:33:59.000Z
batch_20260723_095422,iuid_9672e4c078b142bd,rolex_1530_7937,Rolex 1530,4,v1,EBAY_DE,2026-07-30T19:49:07+00:00,v1|407082041541|0,Rolex Unruh 1530-7855 - Gebraucht Top Zustand ,450.00,EUR,Usato,3000,FIXED_PRICE,https://www.ebay.de/itm/407082041541?_skw=Rolex+1530&hash=item5ec7fb00c5:g:6DAAAeSwms5qW5Rk,https://i.ebayimg.com/images/g/6DAAAeSwms5qW5Rk/s-l225.jpg,lang_295210,5,100.0,20.00,EUR,IT,Pinzano al Tagliamento,2026-07-19T15:01:25.000Z
batch_20260723_095422,iuid_9672e4c078b142bd,rolex_1530_7937,Rolex 1530,4,v1,EBAY_DE,2026-07-30T19:49:07+00:00,v1|267727280291|0,Original Rolex 1530 1570 1575 Palettenbrücke 7844 Vintage Uhrwerk Teil gebraucht,99.00,EUR,Usato,3000,FIXED_PRICE|BEST_OFFER,https://www.ebay.de/itm/267727280291?_skw=Rolex+1530&hash=item3e55ca18a3:g:YXoAAeSwK8xqVfsS,https://i.ebayimg.com/images/g/YXoAAeSwK8xqVfsS/s-l225.jpg,fabiovr86,321,100.0,25.00,EUR,IT,Verona,2026-07-14T09:03:46.000Z
batch_20260723_095422,iuid_9672e4c078b142bd,rolex_1530_7937,Rolex 1530,4,v1,EBAY_DE,2026-07-30T19:49:07+00:00,v1|206403458917|0,ORIG  ROLEX PALLET FORK ANKER HEMMUNG 1520 1530 1560 1565 1570 1575 7846 (R405),95.00,EUR,Gebraucht - Gut,3000,FIXED_PRICE,https://www.ebay.de/itm/206403458917?_skw=Rolex+1530&hash=item300e9ad765:g:De8AAOSwsxhoRCkY,https://i.ebayimg.com/images/g/De8AAOSwsxhoRCkY/s-l225.jpg,kian-werke,7780,100.0,6.00,EUR,DE,Hildesheim,2026-07-08T19:59:52.000Z
batch_20260723_095422,iuid_9672e4c078b142bd,rolex_1530_7937,Rolex 1530,4,v1,EBAY_DE,2026-07-30T19:49:07+00:00,v1|377328285531|0,Rolex 1520-1530-1560-1570 Original Ersatzteile (EINZELVERKAUF GRADIERT),140.00,EUR,Usato,3000,FIXED_PRICE,https://www.ebay.de/itm/377328285531?_skw=Rolex+1530&hash=item57da84b75b:g:pGsAAeSwy1BqTjXM,https://i.ebayimg.com/images/g/pGsAAeSwy1BqTjXM/s-l225.jpg,robertobed_0,4,100.0,13.00,EUR,RO,,2026-07-08T11:36:08.000Z
batch_20260723_095422,iuid_9672e4c078b142bd,rolex_1530_7937,Rolex 1530,4,v1,EBAY_DE,2026-07-30T19:49:07+00:00,v1|398094312417|0,Rolex 1530-7825 Lauffeder - Mainspring,56.35,EUR,Occasion,3000,FIXED_PRICE,https://www.ebay.de/itm/398094312417?_skw=Rolex+1530&hash=item5cb04523e1:g:A2sAAeSwfEFqOT9K,https://i.ebayimg.com/images/g/A2sAAeSwfEFqOT9K/s-l225.jpg,manz15,8282,99.4,9.00,EUR,FR,Vaux-sur-Mer,2026-06-22T13:50:05.000Z
batch_20260723_095422,iuid_9672e4c078b142bd,rolex_1530_7937,Rolex 1530,4,v1,EBAY_DE,2026-07-30T19:49:07+00:00,v1|127931292206|0,"ROLEX 1530 Streifen Cod. 7881 Kaliber: 1520, 1525, 1530, 1535, 1555, 1556, 1560,...",62.10,EUR,Nuovo con etichette,1000,FIXED_PRICE,https://www.ebay.de/itm/127931292206?_skw=Rolex+1530&hash=item1dc94c9a2e:g:n20AAeSw9gVqNWnt,https://i.ebayimg.com/images/g/n20AAeSw9gVqNWnt/s-l225.jpg,myclock.it_aude,361,98.6,24.00,EUR,IT,Alessandria,2026-06-19T16:12:14.000Z
batch_20260723_095422,iuid_9672e4c078b142bd,rolex_1530_7937,Rolex 1530,4,v1,EBAY_DE,2026-07-30T19:49:07+00:00,v1|147381739008|0,"ROLEX Oyster Peretual Air-King SUPER PRECISION Ref. 5500, Cal. 1530 aus II/1958",10850.00,EUR,Gebraucht - Hervorragend,2990,FIXED_PRICE|BEST_OFFER,https://www.ebay.de/itm/147381739008?_skw=Rolex+1530&hash=item2250a2de00:g:lnwAAeSw9h5qMuqm,https://i.ebayimg.com/images/g/lnwAAeSw9h5qMuqm/s-l225.jpg,www.gold-oase,3425,100.0,69.00,EUR,DE,Wuppertal,2026-06-17T18:46:01.000Z
batch_20260723_095422,iuid_9672e4c078b142bd,rolex_1530_7937,Rolex 1530,4,v1,EBAY_DE,2026-07-30T19:49:07+00:00,v1|227390750035|0,Fahrer Neuwertig für Rolex (Code 1530 7912-1) Driver,64.90,EUR,Usato,3000,FIXED_PRICE|BEST_OFFER,https://www.ebay.de/itm/227390750035?_skw=Rolex+1530&hash=item34f18b7d53:g:0vgAAeSw8fBqaxQS,https://i.ebayimg.com/images/g/0vgAAeSw8fBqaxQS/s-l225.jpg,*rarecollections,1407,100.0,29.00,EUR,IT,,2026-06-16T08:13:34.000Z
batch_20260723_095422,iuid_9672e4c078b142bd,rolex_1530_7937,Rolex 1530,4,v1,EBAY_DE,2026-07-30T19:49:07+00:00,v1|227390747712|0,Center Wheel No Cannon Ritzel Neuwertig für Rolex (Code 1530 7829) Center W,108.90,EUR,Usato,3000,FIXED_PRICE|BEST_OFFER,https://www.ebay.de/itm/227390747712?_skw=Rolex+1530&hash=item34f18b7440:g:8AYAAeSwlcJqaxLn,https://i.ebayimg.com/images/g/8AYAAeSwlcJqaxLn/s-l225.jpg,*rarecollections,1407,100.0,29.00,EUR,IT,,2026-06-16T08:08:53.000Z
batch_20260723_095422,iuid_9672e4c078b142bd,rolex_1530_7937,Rolex 1530,4,v1,EBAY_DE,2026-07-30T19:49:07+00:00,v1|227390702486|0,Neuwertige Kombination Caston für Rolex (Code 1530 7936) Combined in-Setting f,121.00,EUR,Usato,3000,FIXED_PRICE|BEST_OFFER,https://www.ebay.de/itm/227390702486?_skw=Rolex+1530&hash=item34f18ac396:g:MR0AAeSwS0BqaxP5,https://i.ebayimg.com/images/g/MR0AAeSwS0BqaxP5/s-l225.jpg,*rarecollections,1407,100.0,29.00,EUR,IT,,2026-06-16T07:32:10.000Z
batch_20260723_095422,iuid_9672e4c078b142bd,rolex_1530_7937,Rolex 1530,4,v1,EBAY_DE,2026-07-30T19:49:07+00:00,v1|227390700717|0,"Kastanie oben, unten wie neu für Rolex (Code 1530 7932) In-Setting Upper/L",42.90,EUR,Usato,3000,FIXED_PRICE|BEST_OFFER,https://www.ebay.de/itm/227390700717?_skw=Rolex+1530&hash=item34f18abcad:g:Rk8AAeSwmkxqaxP7,https://i.ebayimg.com/images/g/Rk8AAeSwmkxqaxP7/s-l225.jpg,*rarecollections,1407,100.0,29.00,EUR,IT,,2026-06-16T07:29:58.000Z
batch_20260723_095422,iuid_9672e4c078b142bd,rolex_1530_7937,Rolex 1530,4,v1,EBAY_DE,2026-07-30T19:49:07+00:00,v1|227390695092|0,Neuwertig montiertes Umkehrrad für Rolex (Code 1530 7912) Reversing Whee,108.90,EUR,Usato,3000,FIXED_PRICE|BEST_OFFER,https://www.ebay.de/itm/227390695092?_skw=Rolex+1530&hash=item34f18aa6b4:g:inoAAeSwZl5qaxRJ,https://i.ebayimg.com/images/g/inoAAeSwZl5qaxRJ/s-l225.jpg,*rarecollections,1407,100.0,29.00,EUR,IT,,2026-06-16T07:26:08.000Z
batch_20260723_095422,iuid_9672e4c078b142bd,rolex_1530_7937,Rolex 1530,4,v1,EBAY_DE,2026-07-30T19:49:07+00:00,v1|227390693851|0,Laufrad der Spule gebraucht für Rolex (Code 1530 7917) Driving Wheel f,70.40,EUR,Usato,3000,FIXED_PRICE|BEST_OFFER,https://www.ebay.de/itm/227390693851?_skw=Rolex+1530&hash=item34f18aa1db:g:gqUAAeSwrFJqaw3X,https://i.ebayimg.com/images/g/gqUAAeSwrFJqaw3X/s-l225.jpg,*rarecollections,1407,100.0,29.00,EUR,IT,,2026-06-16T07:24:58.000Z
batch_20260723_095422,iuid_9672e4c078b142bd,rolex_1530_7937,Rolex 1530,4,v1,EBAY_DE,2026-07-30T19:49:07+00:00,v1|227390692325|0,Stoßdämpfer Unruh oben wie neu für Rolex (Code 1530 7930) Shock-A,130.90,EUR,Usato,3000,FIXED_PRICE|BEST_OFFER,https://www.ebay.de/itm/227390692325?_skw=Rolex+1530&hash=item34f18a9be5:g:nboAAeSwapBqaxO4,https://i.ebayimg.com/images/g/nboAAeSwapBqaxO4/s-l225.jpg,*rarecollections,1407,100.0,29.00,EUR,IT,,2026-06-16T07:24:07.000Z
